,APL,Ada,Apex,Assembly,Bash/Shell (all shells),C,C#,C++,Clojure,Cobol,Crystal,Dart,Delphi,Elixir,Erlang,F#,Flow,Fortran,GDScript,Go,Groovy,HTML/CSS,Haskell,Java,JavaScript,Julia,Kotlin,Lisp,Lua,MATLAB,Nim,OCaml,Objective-C,PHP,Perl,PowerShell,Prolog,Python,R,Raku,Ruby,Rust,SAS,SQL,Scala,Solidity,Swift,TypeScript,VBA,Visual Basic (.Net),Zig
APL,101,48,41,71,82,79,59,68,58,42,40,48,38,53,50,49,30,39,33,53,31,87,70,56,85,48,53,60,53,28,39,50,35,44,37,43,43,86,33,29,42,88,27,77,40,37,43,76,30,36,53
Ada,51,277,51,107,164,164,113,165,49,44,44,70,61,50,48,45,29,40,38,111,35,147,58,123,164,55,80,49,50,35,37,51,44,63,34,65,39,230,48,29,49,160,34,180,48,39,60,146,35,41,54
Apex,35,46,278,37,133,54,126,65,42,32,33,52,40,39,33,33,33,29,32,109,46,242,37,134,284,34,65,28,34,27,27,25,32,80,38,71,28,208,42,24,47,115,28,262,38,36,46,174,30,35,44
Assembly,125,164,74,1875,1994,2130,1081,2007,215,119,103,446,221,274,180,202,57,132,198,1081,117,1636,573,997,1688,262,695,324,570,223,153,190,175,533,168,488,134,2438,259,73,299,2161,67,1638,220,158,423,1515,115,153,566
Bash/Shell (all shells),242,288,162,2354,17120,4992,4969,5726,953,225,314,1997,296,1662,789,785,94,288,677,7999,701,10583,1809,5159,11355,1017,3996,1016,2321,460,470,576,408,2789,687,2857,324,13871,1196,161,1825,11703,126,11095,1281,611,1923,11080,281,368,1785
C,210,309,125,2391,5193,7334,3338,6395,498,185,215,1493,397,828,482,440,77,279,492,3971,280,5497,1380,3238,6064,797,2316,813,1630,558,360,471,431,1596,461,1343,253,8476,807,122,942,7274,122,5436,588,448,1317,5199,235,381,1586
C#,125,165,142,1226,4253,2704,15209,4411,374,161,181,1809,508,755,305,1569,89,142,605,4303,300,9591,807,3331,10333,414,2829,381,1179,304,243,243,331,1873,248,3745,156,8311,707,76,896,6662,125,10190,519,403,1461,10220,381,775,897
C++,192,257,120,2175,5174,5318,4481,9772,453,170,191,1642,462,761,400,497,78,272,565,4070,300,6088,1305,3589,6867,856,2551,678,1561,591,332,421,430,1728,390,1619,242,9726,872,108,930,7918,126,5917,585,460,1408,6004,246,451,1404
Clojure,56,42,32,86,292,146,114,106,757,32,43,98,26,171,80,93,26,38,56,222,48,316,137,197,318,71,164,178,104,26,57,77,32,65,37,61,52,312,57,30,110,392,23,327,88,31,68,292,26,30,144
Cobol,45,47,42,88,155,114,168,114,48,117,39,66,80,48,42,47,33,46,38,117,45,229,47,180,247,48,98,47,60,35,39,38,43,125,46,108,39,241,64,28,62,137,37,302,45,45,66,158,59,66,47
Crystal,39,43,34,57,117,75,126,79,55,35,187,64,41,93,45,57,31,36,53,102,34,159,60,56,166,46,62,40,63,29,48,42,37,63,37,67,34,131,46,32,121,132,31,173,37,38,58,136,45,63,73
Dart,67,68,58,302,1108,664,1147,929,148,65,87,3088,73,323,124,147,45,55,221,1562,116,2081,276,1103,2361,186,1344,113,331,103,102,87,127,638,71,401,69,2241,193,40,338,1916,55,1883,208,200,782,2405,54,105,350
Delphi,40,57,51,168,370,341,705,465,46,50,44,135,1777,60,50,73,32,51,54,279,61,774,62,328,904,62,205,54,116,60,39,40,76,423,70,296,45,833,107,30,98,355,38,1346,57,51,142,484,124,99,62
Elixir,56,45,33,106,476,199,182,166,179,40,100,149,27,1483,463,121,32,34,81,442,40,676,229,157,620,100,221,134,177,31,73,111,32,102,45,67,66,496,60,31,284,916,23,679,110,63,169,680,23,29,291
Erlang,51,44,32,77,271,177,99,140,91,38,52,81,30,470,479,67,26,38,48,183,45,261,143,113,251,60,112,96,109,31,45,82,34,61,42,58,67,270,49,26,101,409,25,314,66,41,80,238,29,36,136
F#,39,33,26,80,186,108,472,132,78,26,43,70,27,109,53,487,25,27,39,153,33,267,145,82,255,70,135,67,87,28,51,80,33,61,36,193,40,239,51,27,51,342,23,329,81,38,78,374,30,45,97
Flow,31,31,38,38,63,38,52,41,35,31,31,41,30,40,33,35,53,29,30,53,30,93,37,54,107,27,46,29,33,30,29,29,31,42,28,42,31,74,28,25,35,79,25,77,27,28,42,112,28,31,31
Fortran,42,48,38,127,301,254,168,316,56,47,39,62,89,51,48,45,30,203,41,141,41,269,90,169,279,140,99,89,88,74,37,54,53,118,65,107,44,456,112,35,64,259,34,320,48,45,84,171,58,60,61
